title,href,area,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,2009,2010,2011,2012,2013,2014,2015,2016
高级前端工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7%E5%89%8D%E7%AB%AF%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",12500,12790,19250,20890,23700,,5582,6999,14954,11909,9018,14928,18121,18479
销售代表,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E4%BB%A3%E8%A1%A8/,"
销售类

♦
♦

",5510,6310,7080,7830,16710,,2712,3614,3485,4882,5602,6165,6112,7042
销售经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",5910,7540,9460,10940,14750,,4494,4105,4952,5764,6725,7097,8407,8559
电话销售,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%94%B5%E8%AF%9D%E9%94%80%E5%94%AE/,"
销售类

♦
♦

",5630,6460,7310,8400,19350,,2694,3308,3444,4620,5562,5684,6077,6559
销售助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E5%8A%A9%E7%90%86/,"
销售类

♦
♦

",4470,4850,5450,6690,18330,,2238,3056,2984,3806,5066,5150,4772,5422
销售,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE/,"
销售类

♦
♦

",5540,6480,8260,12010,17870,,2731,3501,3724,4959,5598,5915,7018,7332
商务助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%95%86%E5%8A%A1%E5%8A%A9%E7%90%86/,"
销售类

♦
♦

",4200,4830,5690,7860,11390,,2586,2632,3086,3427,4535,4277,4828,5256
销售专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E4%B8%93%E5%91%98/,"
销售类

♦
♦

",5110,5940,6800,9260,11830,,2352,2858,4061,4986,5786,5652,6009,6345
商务专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%95%86%E5%8A%A1%E4%B8%93%E5%91%98/,"
销售类

♦
♦

",4680,5400,6230,7030,7460,,2862,3507,3571,3712,5013,4740,5617,5905
客户经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%AE%A2%E6%88%B7%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",6460,7850,9810,13480,14830,,5696,3867,5139,5744,6878,7515,8481,8592
区域销售经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%8C%BA%E5%9F%9F%E9%94%80%E5%94%AE%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",7310,7060,8650,10080,11270,,4727,4527,4889,5602,6514,6739,7616,8066
销售总监,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E6%80%BB%E7%9B%91/,"
销售类

♦
♦

",4840,9800,14410,16220,20170,,8784,4247,9644,9108,9771,10558,14387,13810
商务经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%95%86%E5%8A%A1%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",5870,9050,10920,13240,16070,,5146,3793,5552,6331,6892,8142,10257,10448
销售主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E4%B8%BB%E7%AE%A1/,"
销售类

♦
♦

",5380,7280,8170,8540,11940,,3799,3867,4607,5659,6645,6913,7725,7755
销售顾问,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E9%A1%BE%E9%97%AE/,"
销售类

♦
♦

",7290,7800,8480,11180,14710,,3277,2636,4311,5761,6022,6559,7248,7900
课程顾问,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%AF%BE%E7%A8%8B%E9%A1%BE%E9%97%AE/,"
销售类

♦
♦

",7000,7940,8340,14270,9000,,3597,3368,4802,4763,5453,5874,7431,8202
销售工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
销售类

♦
♦

",4940,5970,7040,8820,9240,,2722,3258,3725,4319,5042,5540,5970,6216
业务员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%B8%9A%E5%8A%A1%E5%91%98/,"
销售类

♦
♦

",5070,5390,5660,6430,5370,,2392,3424,2981,4572,4514,4484,5498,5527
医药代表,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%8C%BB%E8%8D%AF%E4%BB%A3%E8%A1%A8/,"
销售类

♦
♦

",4440,5370,6730,5750,9000,,,,,3201,3359,4174,4307,5546
销售人员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E4%BA%BA%E5%91%98/,"
销售类

♦
♦

",5210,5530,6500,7370,19170,,,,,,,,,
区域经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%8C%BA%E5%9F%9F%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",7090,7670,8910,10280,12260,,4058,4760,5538,5381,6332,7342,8364,8657
业务代表,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%B8%9A%E5%8A%A1%E4%BB%A3%E8%A1%A8/,"
销售类

♦
♦

",5690,5670,7260,5830,6000,,2807,3528,3166,4690,5500,5838,5902,6423
大客户经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%A4%A7%E5%AE%A2%E6%88%B7%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",7860,8960,10640,13790,15030,,7124,6412,6541,6485,7587,8387,9865,10316
招商经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8B%9B%E5%95%86%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",4650,8760,9540,11930,14400,,4253,4275,5798,6375,6775,8681,9572,9876
医药销售代表,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%8C%BB%E8%8D%AF%E9%94%80%E5%94%AE%E4%BB%A3%E8%A1%A8/,"
销售类

♦
♦

",6170,6250,7070,,,,3054,2894,4402,4768,7025,7038,5224,6145
大区销售经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%A4%A7%E5%8C%BA%E9%94%80%E5%94%AE%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",3790,7610,9990,11720,14140,,5205,6734,4864,7087,7254,6740,8776,8790
高级销售经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7%E9%94%80%E5%94%AE%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",10420,10270,11150,13470,17710,,6838,4332,7216,7131,7601,7912,10288,11387
业务经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%B8%9A%E5%8A%A1%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",5390,7420,9170,12810,15620,,2814,4189,4809,5394,6728,7391,7948,8487
市场专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E4%B8%93%E5%91%98/,"
销售类

♦
♦

",5040,5840,6440,9070,13570,,3178,2923,3943,4308,5147,5316,5812,6174
客户代表,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%AE%A2%E6%88%B7%E4%BB%A3%E8%A1%A8/,"
销售类

♦
♦

",5720,6900,8480,8120,11710,,2719,3743,3770,5107,5903,6354,7113,7514
招商专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8B%9B%E5%95%86%E4%B8%93%E5%91%98/,"
销售类

♦
♦

",4870,6510,6480,7400,7000,,2900,2827,4041,4183,4772,5109,6124,6216
销售精英,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E7%B2%BE%E8%8B%B1/,"
销售类

♦
♦

",8310,1000,8660,9500,,,3752,3045,4841,5720,6808,7325,7469,8009
区域销售总监,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%8C%BA%E5%9F%9F%E9%94%80%E5%94%AE%E6%80%BB%E7%9B%91/,"
销售类

♦
♦

",13080,13810,15190,17440,,,19388,8556,7677,8845,8902,7303,12294,12241
商务主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%95%86%E5%8A%A1%E4%B8%BB%E7%AE%A1/,"
销售类

♦
♦

",5750,7080,8630,10370,10830,,4874,3295,4616,5046,5852,7379,8192,7915
销售内勤,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E5%86%85%E5%8B%A4/,"
销售类

♦
♦

",4500,3750,5000,7020,,,2540,2517,2838,2972,3287,3311,4036,4626
项目经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%A1%B9%E7%9B%AE%E7%BB%8F%E7%90%86/,"
销售类

♦
♦

",5330,8310,11080,13550,15180,,5476,5191,7184,7216,7631,9289,11296,11187
销售员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E5%91%98/,"
销售类

♦
♦

",4560,5920,5900,6220,7000,,1845,2560,3249,4323,4605,4899,5371,5586
区域销售代表,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%8C%BA%E5%9F%9F%E9%94%80%E5%94%AE%E4%BB%A3%E8%A1%A8/,"
销售类

♦
♦

",6500,6220,6820,9000,,,5739,3670,3868,5194,5088,5282,6180,6436
医疗器械销售,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%8C%BB%E7%96%97%E5%99%A8%E6%A2%B0%E9%94%80%E5%94%AE/,"
销售类

♦
♦

",4770,6340,7010,8680,12910,,1629,3249,3407,4337,4698,5041,5501,5998
广告销售,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B9%BF%E5%91%8A%E9%94%80%E5%94%AE/,"
销售类

♦
♦

",6130,7510,10640,14990,22810,,2935,3286,4324,4463,5531,6033,7746,8341
